id,title,salary,dept_id
1,CEO,1000000,1
2,CFO,500000,1
3,COO,400000,1
4,VP_Product,300000,2
5,Product_Manager,200000,2
6,Product_Lead,150000,2
7,VP_Sales,450000,3
8,Sales_Manager,250000,3
9,Sales_Associate,150000,3
10,VP_Marketing,425000,4
11,Brand_Manager,225000,4
12,VP_Finance,475000,5
13,Finance_Director,175000,5
14,Analyst,100000,5
15,VP_HR,350000,6
16,Hiring_Director,180000,6
17,HR_Manager,140000,6
18,Payroll_Admin,100000,6
19,VP_Legal,425000,7
20,Attorney,250000,7
21,Paralegal,90000,7
22,Vp_Quality,375000,8
23,Quality_Engineer,210000,8
24,Quality_Lead,160000,8
25,VP_CustomerService,280000,9
26,CS_Manager,115000,9
27,CS_Rep,60000,9
28,VP_Communications,380000,10
29,External_Director,130000,10
30,Internal_Director,130000,10
